output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
0,0,27,27,0,27,27,Manufacturer peak plateau
0.025,0.00261799387799149,27,27,0,27,27,Manufacturer peak plateau
0.25,0.0261799387799149,27,27,0,27,27,Manufacturer peak plateau
0.5,0.0523598775598299,27,27,0,27,27,Manufacturer peak plateau
0.75,0.0785398163397448,27,27,0,27,27,Manufacturer peak plateau
1,0.10471975511966,27,27,0,27,27,Manufacturer peak plateau
1.25,0.130899693899575,27,27,0,27,27,Manufacturer peak plateau
1.5,0.15707963267949,27,27,0,27,27,Manufacturer peak plateau
1.75,0.183259571459405,27,27,0,27,27,Manufacturer peak plateau
2,0.20943951023932,27,27,0,27,27,Manufacturer peak plateau
2.25,0.235619449019234,27,27,0,27,27,Manufacturer peak plateau
2.5,0.261799387799149,27,27,0,27,27,Manufacturer peak plateau
2.75,0.287979326579064,27,27,0,27,27,Manufacturer peak plateau
3,0.314159265358979,27,27,0,27,27,Manufacturer peak plateau
3.25,0.340339204138894,27,27,0,27,27,Manufacturer peak plateau
3.5,0.366519142918809,27,27,0,27,27,Manufacturer peak plateau
3.75,0.392699081698724,27,27,0,27,27,Manufacturer peak plateau
4,0.418879020478639,27,27,0,27,27,Manufacturer peak plateau
4.25,0.445058959258554,27,27,0,27,27,Manufacturer peak plateau
4.5,0.471238898038469,27,27,0,27,27,Manufacturer peak plateau
4.75,0.497418836818384,27,27,0,27,27,Manufacturer peak plateau
5,0.523598775598299,27,27,0,27,27,Manufacturer peak plateau
5.25,0.549778714378214,27,27,0,27,27,Manufacturer peak plateau
5.5,0.575958653158129,27,27,0,27,27,Manufacturer peak plateau
5.75,0.602138591938044,27,27,0,27,27,Manufacturer peak plateau
6,0.628318530717959,27,27,0,27,27,Manufacturer peak plateau
6.25,0.654498469497873,27,27,0,27,27,Manufacturer peak plateau
6.5,0.680678408277788,27,27,0,27,27,Manufacturer peak plateau
6.75,0.706858347057703,27,27,0,27,27,Manufacturer peak plateau
7,0.733038285837618,27,27,0,27,27,Manufacturer peak plateau
7.25,0.759218224617533,27,27,0,27,27,Manufacturer peak plateau
7.5,0.785398163397448,27,27,0,27,27,Manufacturer peak plateau
7.75,0.811578102177363,27,27,0,27,27,Manufacturer peak plateau
8,0.837758040957278,27,27,0,27,27,Manufacturer peak plateau
8.25,0.863937979737193,27,27,0,27,27,Manufacturer peak plateau
8.5,0.890117918517108,27,27,0,27,27,Manufacturer peak plateau
8.75,0.916297857297023,27,27,0,27,27,Manufacturer peak plateau
9,0.942477796076938,27,27,0,27,27,Manufacturer peak plateau
9.25,0.968657734856853,27,27,0,27,27,Manufacturer peak plateau
9.5,0.994837673636768,27,27,0,27,27,Manufacturer peak plateau
9.75,1.02101761241668,27,27,0,27,27,Manufacturer peak plateau
10,1.0471975511966,27,27,0,27,27,Manufacturer peak plateau
10.25,1.07337748997651,27,27,0,27,27,Manufacturer peak plateau
10.5,1.09955742875643,27,27,0,27,27,Manufacturer peak plateau
10.75,1.12573736753634,27,27,0,27,27,Manufacturer peak plateau
11,1.15191730631626,27,27,0,27,27,Manufacturer peak plateau
11.25,1.17809724509617,27,27,0,27,27,Manufacturer peak plateau
11.5,1.20427718387609,27,27,0,27,27,Manufacturer peak plateau
11.75,1.230457122656,27,27,0,27,27,Manufacturer peak plateau
12,1.25663706143592,27,27,0,27,27,Manufacturer peak plateau
12.25,1.28281700021583,27,27,0,27,27,Manufacturer peak plateau
12.5,1.30899693899575,27,27,0,27,27,Manufacturer peak plateau
12.75,1.33517687777566,27,27,0,27,27,Manufacturer peak plateau
13,1.36135681655558,27,27,0,27,27,Manufacturer peak plateau
13.25,1.38753675533549,27,27,0,27,27,Manufacturer peak plateau
13.5,1.41371669411541,27,27,0,27,27,Manufacturer peak plateau
13.75,1.43989663289532,27,27,0,27,27,Manufacturer peak plateau
14,1.46607657167524,27,27,0,27,27,Manufacturer peak plateau
14.25,1.49225651045515,27,27,0,27,27,Manufacturer peak plateau
14.5,1.51843644923507,27,27,0,27,27,Manufacturer peak plateau
14.75,1.54461638801498,27,27,0,27,27,Manufacturer peak plateau
15,1.5707963267949,27,27,0,27,27,Manufacturer peak plateau
15.25,1.59697626557481,27,27,0,27,27,Manufacturer peak plateau
15.5,1.62315620435473,27,27,0,27,27,Manufacturer peak plateau
15.75,1.64933614313464,27,27,0,27,27,Manufacturer peak plateau
16,1.67551608191456,27,27,0,27,27,Manufacturer peak plateau
16.25,1.70169602069447,27,27,0,27,27,Manufacturer peak plateau
16.5,1.72787595947439,27,27,0,27,27,Manufacturer peak plateau
16.75,1.7540558982543,27,27,0,27,27,Manufacturer peak plateau
17,1.78023583703422,27,27,0,27,27,Manufacturer peak plateau
17.25,1.80641577581413,27,27,0,27,27,Manufacturer peak plateau
17.5,1.83259571459405,27,27,0,27,27,Manufacturer peak plateau
17.75,1.85877565337396,27,27,0,27,27,Manufacturer peak plateau
18,1.88495559215388,27,27,0,27,27,Manufacturer peak plateau
18.25,1.91113553093379,27,27,0,27,27,Manufacturer peak plateau
18.5,1.93731546971371,27,27,0,27,27,Manufacturer peak plateau
18.75,1.96349540849362,27,27,0,27,27,Manufacturer peak plateau
19,1.98967534727354,27,27,0,27,27,Manufacturer peak plateau
19.25,2.01585528605345,27,27,0,27,27,Manufacturer peak plateau
19.5,2.04203522483337,27,27,0,27,27,Manufacturer peak plateau
19.75,2.06821516361328,27,27,0,27,27,Manufacturer peak plateau
20,2.0943951023932,27,27,0,27,27,Manufacturer peak plateau
20.25,2.12057504117311,27,27,0,27,27,Manufacturer peak plateau
20.275,2.1231930350511,27,27,0,27,27,Manufacturer peak plateau
20.5,2.14675497995302,27,27,0,27,27,Manufacturer peak plateau
20.75,2.17293491873294,27,27,0,27,27,Manufacturer peak plateau
21,2.19911485751286,27,27,0,27,27,Manufacturer peak plateau
21.25,2.22529479629277,27,27,0,27,27,Manufacturer peak plateau
21.5,2.25147473507268,27,27,0,27,27,Manufacturer peak plateau
21.75,2.2776546738526,27,27,0,27,27,Manufacturer peak plateau
22,2.30383461263251,27,27,0,27,27,Manufacturer peak plateau
22.25,2.33001455141243,27,27,0,27,27,Manufacturer peak plateau
22.5,2.35619449019234,27,27,0,27,27,Manufacturer peak plateau
22.75,2.38237442897226,27,27,0,27,27,Manufacturer peak plateau
23,2.40855436775217,27,27,0,27,27,Manufacturer peak plateau
23.25,2.43473430653209,27,27,0,27,27,Manufacturer peak plateau
23.5,2.460914245312,27,27,0,27,27,Manufacturer peak plateau
23.75,2.48709418409192,27,27,0,27,27,Manufacturer peak plateau
24,2.51327412287183,27,27,0,27,27,Manufacturer peak plateau
24.25,2.53945406165175,27,27,0,27,27,Manufacturer peak plateau
24.5,2.56563400043166,27,27,0,27,27,Manufacturer peak plateau
24.75,2.59181393921158,27,27,0,27,27,Manufacturer peak plateau
25,2.61799387799149,27,27,0,27,27,Manufacturer peak plateau
25.25,2.64417381677141,27,27,0,27,27,Manufacturer peak plateau
25.5,2.67035375555132,27,27,0,27,27,Manufacturer peak plateau
25.75,2.69653369433124,27,27,0,27,27,Manufacturer peak plateau
26,2.72271363311115,27,27,0,27,27,Manufacturer peak plateau
26.25,2.74889357189107,27,27,0,27,27,Manufacturer peak plateau
26.5,2.77507351067098,27,27,0,27,27,Manufacturer peak plateau
26.75,2.8012534494509,27,27,0,27,27,Manufacturer peak plateau
27,2.82743338823081,27,27,0,27,27,Manufacturer peak plateau
27.25,2.85361332701073,27,27,0,27,27,Manufacturer peak plateau
27.5,2.87979326579064,27,27,0,27,27,Manufacturer peak plateau
27.75,2.90597320457056,27,27,0,27,27,Manufacturer peak plateau
28,2.93215314335047,27,27,0,27,27,Manufacturer peak plateau
28.25,2.95833308213039,27,27,0,27,27,Manufacturer peak plateau
28.5,2.9845130209103,27,27,0,27,27,Manufacturer peak plateau
28.75,3.01069295969022,27,27,0,27,27,Manufacturer peak plateau
29,3.03687289847013,27,27,0,27,27,Manufacturer peak plateau
29.25,3.06305283725005,27,27,0,27,27,Manufacturer peak plateau
29.5,3.08923277602996,27,27,0,27,27,Manufacturer peak plateau
29.75,3.11541271480988,27,27,0,27,27,Manufacturer peak plateau
30,3.14159265358979,27,27,0,27,27,Manufacturer peak plateau
30.25,3.16777259236971,27,27,0,27,27,Manufacturer peak plateau
30.5,3.19395253114962,27,27,0,27,27,Manufacturer peak plateau
30.75,3.22013246992954,27,27,0,27,27,Manufacturer peak plateau
31,3.24631240870945,27,27,0,27,27,Manufacturer peak plateau
31.25,3.27249234748937,27,27,0,27,27,Manufacturer peak plateau
31.5,3.29867228626928,27,27,0,27,27,Manufacturer peak plateau
31.75,3.3248522250492,27,27,0,27,27,Manufacturer peak plateau
32,3.35103216382911,27,27,0,27,27,Manufacturer peak plateau
32.25,3.37721210260903,27,27,0,27,27,Manufacturer peak plateau
32.5,3.40339204138894,27,27,0,27,27,Manufacturer peak plateau
32.75,3.42957198016886,27,27,0,27,27,Manufacturer peak plateau
33,3.45575191894877,27,27,0,27,27,Manufacturer peak plateau
33.25,3.48193185772869,27,27,0,27,27,Manufacturer peak plateau
33.5,3.5081117965086,27,27,0,27,27,Manufacturer peak plateau
