output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
0,0,120,120,0,120,120,Manufacturer peak plateau extrapolation
0.5,0.0523598775598299,120,120,0,120,120,Manufacturer peak plateau extrapolation
1,0.10471975511966,120,120,0,120,120,Manufacturer peak plateau extrapolation
1.5,0.15707963267949,120,120,0,120,120,Manufacturer peak plateau extrapolation
2,0.20943951023932,120,120,0,120,120,Manufacturer peak plateau extrapolation
2.5,0.261799387799149,120,120,0,120,120,Manufacturer peak plateau extrapolation
3,0.314159265358979,120,120,0,120,120,Manufacturer peak plateau extrapolation
3.5,0.366519142918809,120,120,0,120,120,Manufacturer peak plateau extrapolation
4,0.418879020478639,120,120,0,120,120,Manufacturer peak plateau extrapolation
4.5,0.471238898038469,120,120,0,120,120,Manufacturer peak plateau extrapolation
5,0.523598775598299,120,120,0,120,120,Manufacturer peak plateau extrapolation
5.5,0.575958653158129,120,120,0,120,120,Manufacturer peak plateau extrapolation
6,0.628318530717959,120,120,0,120,120,Manufacturer peak plateau extrapolation
6.5,0.680678408277788,120,120,0,120,120,Manufacturer peak plateau extrapolation
7,0.733038285837618,120,120,0,120,120,Manufacturer peak plateau extrapolation
7.5,0.785398163397448,120,120,0,120,120,Manufacturer peak plateau extrapolation
8,0.837758040957278,120,120,0,120,120,Manufacturer peak plateau extrapolation
8.5,0.890117918517108,120,120,0,120,120,Manufacturer peak plateau extrapolation
9,0.942477796076938,120,120,0,120,120,Manufacturer peak plateau extrapolation
9.5,0.994837673636768,120,120,0,120,120,Manufacturer peak plateau extrapolation
10,1.0471975511966,120,120,0,120,120,Manufacturer peak plateau extrapolation
10.5,1.09955742875643,120,120,0,120,120,Manufacturer peak plateau extrapolation
11,1.15191730631626,120,120,0,120,120,Manufacturer peak plateau extrapolation
11.5,1.20427718387609,120,120,0,120,120,Manufacturer peak plateau extrapolation
12,1.25663706143592,120,120,0,120,120,Manufacturer peak plateau extrapolation
12.5,1.30899693899575,120,120,0,120,120,Manufacturer peak plateau extrapolation
13,1.36135681655558,120,120,0,120,120,Manufacturer peak plateau extrapolation
13.5,1.41371669411541,120,120,0,120,120,Manufacturer peak plateau extrapolation
14,1.46607657167524,120,120,0,120,120,Manufacturer peak plateau extrapolation
14.5,1.51843644923507,120,120,0,120,120,Manufacturer peak plateau extrapolation
15,1.5707963267949,120,120,0,120,120,Manufacturer peak plateau extrapolation
15.5,1.62315620435473,120,120,0,120,120,Manufacturer peak plateau extrapolation
16,1.67551608191456,120,120,0,120,120,Manufacturer peak plateau extrapolation
16.5,1.72787595947439,120,120,0,120,120,Manufacturer peak plateau extrapolation
17,1.78023583703422,120,120,0,120,120,Manufacturer peak plateau extrapolation
17.5,1.83259571459405,120,120,0,120,120,Manufacturer peak plateau extrapolation
18,1.88495559215388,120,120,0,120,120,Manufacturer peak plateau extrapolation
18.5,1.93731546971371,120,120,0,120,120,Manufacturer peak plateau extrapolation
19,1.98967534727354,120,120,0,120,120,Manufacturer peak plateau extrapolation
19.5,2.04203522483337,120,120,0,120,120,Manufacturer peak plateau extrapolation
20,2.0943951023932,120,120,0,120,120,Manufacturer peak plateau extrapolation
20.5,2.14675497995302,120,120,0,120,120,Manufacturer peak plateau extrapolation
21,2.19911485751286,120,120,0,120,120,Manufacturer peak plateau extrapolation
21.5,2.25147473507268,120,120,0,120,120,Manufacturer peak plateau extrapolation
22,2.30383461263251,120,120,0,120,120,Manufacturer peak plateau extrapolation
22.5,2.35619449019234,120,120,0,120,120,Manufacturer peak plateau extrapolation
23,2.40855436775217,120,120,0,120,120,Manufacturer peak plateau extrapolation
23.5,2.460914245312,120,120,0,120,120,Manufacturer peak plateau extrapolation
24,2.51327412287183,120,120,0,120,120,Manufacturer peak plateau extrapolation
24.5,2.56563400043166,120,120,0,120,120,Manufacturer peak plateau extrapolation
25,2.61799387799149,120,120,0,120,120,Manufacturer peak plateau extrapolation
25.5,2.67035375555132,120,120,0,120,120,Manufacturer peak plateau extrapolation
26,2.72271363311115,120,120,0,120,120,Manufacturer peak plateau extrapolation
26.5,2.77507351067098,120,120,0,120,120,Manufacturer peak plateau extrapolation
27,2.82743338823081,120,120,0,120,120,Manufacturer peak plateau extrapolation
27.5,2.87979326579064,120,120,0,120,120,Manufacturer peak plateau extrapolation
28,2.93215314335047,120,120,0,120,120,Manufacturer peak plateau extrapolation
28.5,2.9845130209103,120,120,0,120,120,Manufacturer peak plateau extrapolation
